id,title,authors,year,venue,type,category,author_role,awarded,doi,url,theme_ids,primary_theme,project_ids,software_ids,note
2023-international-conference-implementation-of-real-time-model-predictive,Implementation of real-time model predictive control (MPC) of energy recovery ventilators for school buildings,"Ra, S. J.; Jo, H. G.; Jeong, H.; Heo, T. W.; Park, C. S.",2023,"Proceedings of the 18th IBPSA Conference, September 4-6, 2023, Shanghai, China, pp. 3773-3780.",conference-paper,international-conference,coauthor,false,,,hvac-control;research-software,hvac-control,fab-ut-optimization-2022,hvac-studio,available online
2023-international-conference-local-vs-integrated-control-of-a-cooling-syst,Local vs. integrated control of a cooling system in a factory building,"Kim, Y. S.; Kim, J. H.; Jo, H. G.; Park, C. S.; Urabe, E.; Gwak, J. H.; Park, Y. S.",2023,"Proceedings of the 18th IBPSA Conference, September 4-6, 2023, Shanghai, China, pp. 1327-1334.",conference-paper,international-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,available online
2022-international-conference-optimal-control-of-mau-coils-in-an-existing-b,Optimal control of MAU coils in an existing building,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Urabe, E.; Gwak, J. H.; Park, Y. S.; Park, C. S.",2022,"Proceedings of the 2022 Winter Simulation Conference, December 11-14, 2022, Singapore, Singapore.",conference-paper,international-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2022-international-conference-real-time-implementation-of-model-predictive,Real-time implementation of model predictive control for cooling system of a factory building,"Ra, S. J.; Kim, J. H.; Jo, H. G.; Kim, Y. S.; Park, C. S.",2022,"Proceedings of the 2022 ASHRAE Annual Conference, June 25-29, 2022, Toronto, Canada.",conference-paper,international-conference,coauthor,false,,,hvac-control;research-software,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-domestic-conference-running-energyplus-using-spreadsheet-inputs-f,Running EnergyPlus Using Spreadsheet Inputs: Focus on Geometry Information,"Jo, H. G.; Park, C. H.; Lee, S. J.; Mun, H. J.; Park, C. S.",2025,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 45, No. 2, pp. 574-575. October 29-31, 2025, Science and Technology Convention Center, Seoul.",conference-paper,domestic-conference,first,false,,,building-energy-simulation;research-software,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,Presentation _ Running EnergyPlus Using Spreadsheet Inputs: Focus on Geometry Information.pdf
2024-domestic-conference-running-energyplus-using-spreadsheet-inputs-f,Running EnergyPlus Using Spreadsheet Inputs: Focus on HVAC Systems,"Jo, H. G.; Lee, S. J.; Park, C. H.; Mun, H. J.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 45, No. 2, pp. 576-577. October 29-31, 2025, Science and Technology Convention Center, Seoul.",conference-paper,domestic-conference,first,false,,,hvac-control;building-energy-simulation;research-software,hvac-control,existing-building-simulator-2024;fab-ut-optimization-2022,eplussimple;hvac-studio,Presentation _ Running EnergyPlus Using Spreadsheet Inputs: Focus on HVAC Systems.pdf
2024-domestic-conference-establishment-and-application-of-a-greenhouse,Establishment and Application of a Greenhouse Gas Reduction Factor Database for Policy Decision-Making in Green Remodeling Projects,"Jo, H. G.; Kwon, S. O.; Kim, U. H.; Yoo, Y. S.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 501-502. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,first,true,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12002835,green-retrofit,green-retrofit,green-remodeling-carbon-database-2022,co2-reduction-finder,
2022-domestic-conference-calibration-method-for-a-daylight-simulation,Calibration Method for a Daylight Simulation Model Using Field Measurement Data,"Jo, H. G.; Choi, S. H.; Heo, S. Y.; Park, C. S.",2022,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 119-121. November 25, 2022, Yonsei University, Seoul.",conference-paper,domestic-conference,first,false,,,daylighting;building-energy-simulation,daylighting,light-hvac-optimization-2020,,"Presentation _ Calibration Method for a Daylight Simulation Model Using Field Measurement Data (Jo, H. G.)"
2022-domestic-conference-indoor-daylight-estimation-model-based-on-the,Indoor Daylight Estimation Model Based on the Daylight Coefficient Concept,"Jo, H. G.; Choi, S. H.; Park, C. S.",2022,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 42, No. 1, pp. 399-400. April 28-29, 2022, The-K Hotel, Seoul.",conference-paper,domestic-conference,first,false,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11071997,daylighting,daylighting,light-hvac-optimization-2020,,
2021-domestic-conference-real-time-electric-lighting-control-consideri,Real-Time Electric Lighting Control Considering the Uncertainty of a Daylight Model,"Jo, H. G.; Ra, S. J.; Kim, J. H.; Park, C. S.",2021,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 41, No. 2, pp. 332-333. October 27-30, 2021, Yeosu Expo Convention Center, Yeosu, Jeollanam-do.",conference-paper,domestic-conference,first,true,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11024946,daylighting;uncertainty-ml;hvac-control,daylighting,fab-ut-optimization-2022;light-hvac-optimization-2020,hvac-studio,
